timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671080610639,135,Index-0,301,Moved Permanently,Thread Group 1-19,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610774,2689,Index-1,200,OK,Thread Group 1-19,text,true,,3679,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610643,2825,Index,200,OK,Thread Group 1-28,text,true,,3848,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610643,133,Index-0,301,Moved Permanently,Thread Group 1-28,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610776,2692,Index-1,200,OK,Thread Group 1-28,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610649,2824,Index,200,OK,Thread Group 1-207,text,true,,3846,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610649,133,Index-0,301,Moved Permanently,Thread Group 1-207,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610783,2690,Index-1,200,OK,Thread Group 1-207,text,true,,3679,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610652,2827,Index,200,OK,Thread Group 1-128,text,true,,3850,292,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610652,136,Index-0,301,Moved Permanently,Thread Group 1-128,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,136,0,0
1671080610788,2691,Index-1,200,OK,Thread Group 1-128,text,true,,3683,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610658,2827,Index,200,OK,Thread Group 1-211,text,true,,3850,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610658,134,Index-0,301,Moved Permanently,Thread Group 1-211,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610792,2693,Index-1,200,OK,Thread Group 1-211,text,true,,3683,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610664,2826,Index,200,OK,Thread Group 1-104,text,true,,3846,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610664,134,Index-0,301,Moved Permanently,Thread Group 1-104,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610799,2691,Index-1,200,OK,Thread Group 1-104,text,true,,3679,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610670,2826,Index,200,OK,Thread Group 1-10,text,true,,3867,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610670,134,Index-0,301,Moved Permanently,Thread Group 1-10,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610804,2692,Index-1,200,OK,Thread Group 1-10,text,true,,3700,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610675,2827,Index,200,OK,Thread Group 1-220,text,true,,3846,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610675,135,Index-0,301,Moved Permanently,Thread Group 1-220,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610810,2692,Index-1,200,OK,Thread Group 1-220,text,true,,3679,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610680,2828,Index,200,OK,Thread Group 1-195,text,true,,3848,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610680,134,Index-0,301,Moved Permanently,Thread Group 1-195,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610814,2694,Index-1,200,OK,Thread Group 1-195,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610685,2829,Index,200,OK,Thread Group 1-34,text,true,,3871,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610685,134,Index-0,301,Moved Permanently,Thread Group 1-34,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610819,2695,Index-1,200,OK,Thread Group 1-34,text,true,,3704,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610691,2828,Index,200,OK,Thread Group 1-173,text,true,,3846,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610691,134,Index-0,301,Moved Permanently,Thread Group 1-173,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610825,2694,Index-1,200,OK,Thread Group 1-173,text,true,,3679,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610696,2829,Index,200,OK,Thread Group 1-1,text,true,,3850,292,500,500,https://reservasmedicas-production.up.railway.app/,134,0,0
1671080610696,134,Index-0,301,Moved Permanently,Thread Group 1-1,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,134,0,0
1671080610830,2695,Index-1,200,OK,Thread Group 1-1,text,true,,3683,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610701,2830,Index,200,OK,Thread Group 1-155,text,true,,3867,292,500,500,https://reservasmedicas-production.up.railway.app/,133,0,0
1671080610701,133,Index-0,301,Moved Permanently,Thread Group 1-155,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,133,0,0
1671080610834,2697,Index-1,200,OK,Thread Group 1-155,text,true,,3700,146,500,500,https://reservasmedicas-production.up.railway.app/,138,0,0
1671080610707,2829,Index,200,OK,Thread Group 1-229,text,true,,3852,292,500,500,https://reservasmedicas-production.up.railway.app/,135,0,0
1671080610707,135,Index-0,301,Moved Permanently,Thread Group 1-229,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,135,0,0
1671080610842,2694,Index-1,200,OK,Thread Group 1-229,text,true,,3685,146,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610713,2829,Index,200,OK,Thread Group 1-175,text,true,,3848,292,500,500,https://reservasmedicas-production.up.railway.app/,136,0,0
1671080610713,136,Index-0,301,Moved Permanently,Thread Group 1-175,,true,,167,146,500,500,http://reservasmedicas-production.up.railway.app/,136,0,0
1671080610849,2693,Index-1,200,OK,Thread Group 1-175,text,true,,3681,146,500,500,https://reservasmedicas-production.up.railway.app/,137,0,0
1671080610718,2831,Index Post,200,OK,Thread Group 1-89,text,true,,4433,428,500,500,https://reservasmedicas-production.up.railway.app/signin,135,0,0
1671080610718,135,Index Post-0,301,Moved Permanently,Thread Group 1-89,,true,,192,276,500,500,http://reservasmedicas-production.up.railway.app/signin,135,0,0
1671080610853,2696,Index Post-1,200,OK,Thread Group 1-89,text,true,,4241,152,500,500,https://reservasmedicas-production.up.railway.app/signin,137,0,0
1671080610724,2832,Index Post,200,OK,Thread Group 1-248,text,true,,4420,428,500,500,https://reservasmedicas-production.up.railway.app/signin,136,0,0
1671080610724,136,Index Post-0,301,Moved Permanently,Thread Group 1-248,,true,,192,276,500,500,http://reservasmedicas-production.up.railway.app/signin,136,0,0
1671080610860,2696,Index Post-1,200,OK,Thread Group 1-248,text,true,,4228,152,500,500,https://reservasmedicas-production.up.railway.app/signin,137,0,0
1671080610730,2832,Index Post,200,OK,Thread Group 1-12,text,true,,4437,428,500,500,https://reservasmedicas-production.up.railway.app/signin,134,0,0
